,Functional Area,Applies To,Time Scale,Time Range,Versions,Breakback,Users List,Cell Count,Notes,Read Access Driver,Write Access Driver,Data Tags,Managed By,Referenced By,Used in Dashboards,Line Items
CA 23. Berekend UMDT op L3++ Thema's,CALCULATION,"MJP Versions L2, SIP Thema L3++, SS - COEA - zonder AFD, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,5714747,,,,,,"'DA 33 UMDT (L3+ ) op Kostenplaats -> Rekeningcategorie', 'IP 14. Directe toeslagen', 'IP 15. Uurtarieven', 'IP 19. UMDT op L3++ Thema''s', 'IP 20. UMDT Thema''s op Kostenplaats', 'IP 30. Seizoenspatroon Thema L3++', 'CA 04. FTE naar COEA', '└ CA 22a. Berekening toeslagen', '└ CA 22a. Berekening toeslagen - Copy', '└ CA 23b. UMDT Thema''s KPI''s', '└ CA 23c. UMDT + Inflatie (L3+)', '└ CA 25a. FTE & Uurtarief input', 'CA 32. Toeslag Indirect MJP', 'CA 32xx. Toeslag Indirect MJP', 'CA 33. Toeslag indirect dekkings controle', 'CA 42. Materiaal Staging Thema L3++'",,"COE - Activiteit, Eenheid, Uurtarief, Aantal (Q), Uren (€), Materiaal, Diensten derden, UMD (€), TS - Materiaal, TS - Direct, TS - Direct 2, TS - Indirect, TS - OPSS, UMDT (€), TS - Materiaal %, TS - Direct %, TS - Direct % 2, TS - Indirect %, TS - OPSS %, ---KPI---, KPI - KP incl. Toeslag, ---Materiaal Kosten---, Materiaal - Magazijn, Materiaal - Overig, - Technical -, Kosten tbv indirecte toeslag, Kosten tbv materiaaltoeslag, kosten tbv opsstoeslag, Afdeling L5 Filter, Uren, Filter COE, COE - Euros Filter, OPSS Totex, Thema Filter"
└  CA 23a. Allocatie naar Kostenplaats Thema L3 +,CALCULATION,"MJP Versions L2, SIP Thema L3++, SS - COEA - zonder AFD, SS Kostenplaats L7 - Budget, SS Rekeningcategorie - UMDT",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,24279380,,,,,,"'IP 10. Verdeling naar kostenplaatsen', 'IP 10x2. NEW Handmatig Verdeling naar KP', '└CA 35f. Monthly allocation Thema L3++ to UMDT  to KP', 'CA 42. Materiaal Staging Thema L3++', 'RP 14. UMDT - Kostenplaats', 'RP 27. Check report overview'",,"Allocation %, Data, Allocation for valid combinations, ---TECHNICAL---, COEA, Data (Afdeling)"
└ CA 23b. UMDT Thema's KPI's,CALCULATION,"MJP Versions L2, SS - COEA - zonder AFD, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,588,HV: Needed?,,,,,,,KP incl. Toeslag
└ CA 23c. UMDT + Inflatie (L3+),CALCULATION,"MJP Versions L2, SIP Thema L3++, SS - COEA - zonder AFD, SS Afdeling L5 - Budget Afdelingen, LIS (CA 23) UMD - Thema's L3 +",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,22813812,,,,,,"'IP 40. Input Thema L3++ split', '└CA 35g. Monthly allocation on thema L3', 'CA 52. UMDT - Thema Regio EG', 'RP 13. UMDT - Afdeling'",,"Kosten excl. Inflatie, Inflatie, Kosten incl. Inflatie, Kosten excl inflatie, UMD, UMDT Inclusief inflatie, UMDT inclusief inflatie 2, Kosten incl. Inflatie en UMDT"
CA 24. Budget Kosten uren uitvoeringskosten-TBD,CALCULATION,"MJP Versions L2, Inflatie excl/incl, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,6396,HV: This we should delete,,,,,'CA 25. Budget Uren uitvoeringskosten',,"Wagenpark Kosten, ICT Kosten, NS reiskosten, Huisvestingskosten, Gereedschap, Kleding, Terughaalactie, Bedrijfsvoering, Management Fee, Totaal  Doorbelastingen, Omzet, Personeelkosten, Materiaal Kosten, Diensten Derden, Overige Kosten, IC Kosten, Totaal Rekeningscategorieen, SPP Kosten, Consignatiedienst, PPO Kosten, CSR Kosten, BBL Leerlingen, Change activiteiten Kosten, Opleidingskosten, Overig Kosten (IAS 16), Totaal niet cf IAS 16, - Totaal IAS 16, Totaal Kosten, Totaal Kosten te dekken"
CA 24. MJP Kosten uren uitvoeringskosten,CALCULATION,"MJP Versions L2, Inflatie excl/incl, SS Afdeling L5 - Budget Afdelingen",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,36396,,,,,,'CA 25. MJP Uren uitvoeringskosten',,"Wagenpark Kosten, ICT Kosten, NS reiskosten, Huisvestingskosten, Gereedschap, Kleding, Terughaalactie, Bedrijfsvoering, Management Fee, Totaal  Doorbelastingen, Omzet, Personeelkosten, Materiaal Kosten, Diensten Derden, Overige Kosten, IC Kosten, Totaal Rekeningscategorieen, SPP Kosten, Consignatiedienst, PPO Kosten, CSR Kosten, BBL Leerlingen, Change activiteiten Kosten, Opleidingskosten, Overig Kosten (IAS 16), Totaal niet cf IAS 16, - Totaal IAS 16, Totaal Kosten, Totaal Kosten te dekken"
CA 25. Budget Uren uitvoeringskosten,CALCULATION,"MJP Versions L2, SS Afdeling L5 - Budget Afdelingen, LIS (CA 24) Kostencategorieen voor Uurtariefen no time",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,36334,,,,,,"'IP 14. Directe toeslagen', 'CA 25. MJP Uren uitvoeringskosten', '└ CA 25a. FTE & Uurtarief input'",,"Kosten, % Uitvoeringskosten, Final % Uitvoeringskosten, Dekking uren uitvoeringskosten, Gedekt via toeslag direct, Kosten zonder IAS 16, Gemiddeld % Uitvoeringskosten, Dekking in uren - zonder IAS 16, Toeslag direct -  zonder IAS 16, ---Technical---, Dekking uren uitvoeringskosten Dummy Total, Kosten excl. inflatie, Budget - Dekking uren uitvoeringskosten, Budget - % uitvoeringskosten, Uitvoeringskosten % Totaal, Format input"
CA 25. MJP Uren uitvoeringskosten,CALCULATION,"MJP Versions L2, SS Afdeling L5 - Budget Afdelingen, LIS (CA 24) Kostencategorieen voor Uurtariefen",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,337635,,,,,,"'CA 04. FTE naar COEA', 'CA 29. MJP naar Afdelingen', 'CA 31. Toeslag Direct MJP', 'CA 55. Correctiefactor', 'CA 56. Opslag per uur', 'CA XX. Inflatie Staging UMD', 'CA 44. Inflatie Staging', 'RP 27. Check report overview'",,"Kosten, % Uitvoeringskosten, Final % Uitvoeringskosten, Dekking uren uitvoeringskosten, Gedekt via toeslag direct, Kosten zonder IAS 16, Gemiddeld % Uitvoeringskosten, Dekking in uren - zonder IAS 16, Toeslag direct -  zonder IAS 16, ---Technical---, Kosten excl. inflatie, -- Inflation --, Inflatie %, Kosten incl. inflatie, Kosten incl inflation - Dekking uren, Kosten incl inflation - Toeslag direct, Kosten incl inflatie -  uren - zonder IAS 16, Kosten incl inflatie -  toeslag direct - zonder IAS 16, Inflation % Dekking Uren, Inflation % Toeslag Direct"
└ CA 25a. FTE & Uurtarief input,CALCULATION,"MJP Versions L2, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,1932,,,,,,"'IP 15. Uurtarieven', 'IP 32. Urenschrijvende FTE''s', 'CA 19. Rekeningcategorie Allocatie', 'RP 27. Check report overview'",,"Gemiddelde FTE, Urenschrijvende FTE, Overige FTE, -, Aantal productieve uren p.j. (ex leenmonteurs), Beschikbare uren - Invoer, Beschikbare uren - Leenmonteurs, Beschikbare uren - Invoer kostenplaats, Totaal productieve uren beschikbaar, Uren Dekking - Afdelingskosten (€), Uren Dekking - Leenmonteurs (€), Uren Dekking - Stelpost (-), Totaal uren uitvoeringskosten, Gemiddeld tarief, Verwerkte uren (Thema), Verwerkte uren (Activiteit), Verwerkte uren (TOTEX), Saldo (nog) beschikbare uren, Beschikbare uren (UMD) / Uurtarief, KPI Beschikbare uren, ---- Technical ----, Percentage uren schrijvend, Budget - Tarief, Format input, Rounding beschikbare uren, Rounding Totaal"
CA 26. Calculatie Toeslag Indirect,CALCULATION,"MJP Versions L2, SS - COEA - zonder AFD, SS Rekeningcategorie - Toeslag Indirect, SS Kostenplaats L7 - Active",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,355131,HV: TBD,,,,,,,"UMD, Toeslag Indirect %, Toeslag Indirect, Magazijntoeslag %, OPSS toeslag %, OPSS Toeslag"
CA 27. IC Kostenplaats Waarde,CALCULATION,"MJP Versions L2, SS Rekeningcategorie - IC, SS Kostenplaats L7 - Budget",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,3318,,,,,,"'IP 10. Verdeling naar kostenplaatsen', 'IP 10x1. NEW Afdelingkosten naar KP', 'IP 10x2. NEW Handmatig Verdeling naar KP', 'CA 20. Toeslag Direct'",,Waarde in Kostenplaats
CA 28. KPI Admin per KPI,CALCULATION,"KPI_Afdeling, LIS (IM 42) KPI Filter",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,51660,,,,,,"'└ FI 07v. User Filters - KPI_Afdelingen', 'IM 43. KPI_Afdeling'",,"KPI Filter, Verplicht?, Due Date"
CA 29. MJP naar Afdelingen,CALCULATION,"MJP Versions L2, COEA, SS Afdeling L5 - Budget Afdelingen",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,112455,,,,,,"'└CA 00a. SIP- Delta Analyse', 'CA 05. Risico & Kansen', '└  CA 29a. MJP naar Afdeling Collect', 'CA 32. Toeslag Indirect MJP', 'CA 32xx. Toeslag Indirect MJP', 'CA 34. MJP naar thema''s', 'CA XX. Inflatie Staging UMD', '└CA 41a. Netverder Inflatie - Naar rekeningcategori', 'RP 16. MJP Inflatie'",,"Activering, Omzet, Uren, Materiaal, Diensten Derden, Toeslag Direct, Toeslag Indirect, Personeel, Doorbelastingen, Overige Kosten, IC, Totaal, niet cf IAS 16, -- Technical --, EBIT, Totex thema, Totex exclusief toeslagen, Totaal ex activering"
└  CA 29a. MJP naar Afdeling Collect,CALCULATION,"MJP Versions L2, COEA, SS Afdeling L5 - Budget Afdelingen, LIS (CA 29) MJP",Year,Model Calendar,Not Applicable,New Line Items: Off,Show All Users: On,69888,,,,,,'CA 46 Cost + Inflatie',,Data
CA 30. DB/TS naar Kostenplaats,CALCULATION,"MJP Versions L2, DB/TS items, SS Kostenplaats L7 - Budget",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,87864,,,,,,"'IP 10. Verdeling naar kostenplaatsen', 'IP 10x2. NEW Handmatig Verdeling naar KP'",,"Handmatig, Automatisch, Final, Final - Doorbelastingen, Final - Toeslagen"
CA 30a. DB/TS naar Afdeling,CALCULATION,"MJP Versions L2, DB/TS items, SS Afdeling L5 - Doorbelastingen en toeslagen",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,16560,,,,,,'CA 29. MJP naar Afdelingen',,"Final, Final - Toeslagen, Final  - Doorbelastingen"
CA 31. Toeslag Direct MJP,CALCULATION,"MJP Versions L2, SS - COEA - zonder AFD, SS Afdeling L5 - Budget Afdelingen, SS Rekeningcategorie - Toeslag Direct",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,9150,,,,,,'CA 29. MJP naar Afdelingen',,"Toeslag MJP, Toeslag Budget, Toeslag Totaal Budget, % Budget, Overwrite?, % Overwrite, % Finaal, Toeslag Direct Finaal"
CA 32. Toeslag Indirect MJP,CALCULATION,"MJP Versions L2, SS - COEA - zonder AFD, SS Afdeling L5 - Budget Afdelingen",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,135936,,,,,,"'└ CA 22a. Berekening toeslagen', '└ CA 22a. Berekening toeslagen - Copy', 'CA 29. MJP naar Afdelingen', 'CA 44. Inflatie Staging', 'CA 47. Toeslag Inflation Staging'",,"Magazijn toeslag %, Budget Materiaal, Budget Toeslagdragende kosten, Verhouding % Materiaal, Overwrite verhouding?, Overwrite verhouding %, Final verhouding %, MJP Materiaal, MJP - Magazijntoeslag, Inflatie - Magazijntoeslag %, Inflatie - MJP Materiaal, Inflatie - MJP Magazijntoeslag, Inflatie - Magazijntoeslag Inflatie %, OPSS Toeslag %, Budget UMD, Budget UMD OPSS, Verhouding % OPSS, Overwrite verhouding ?, Overwrite verhouding  %, Final verhouding  %, MJP Totex exclusief toeslagen, MJP - OPSS kosten, Inflatie - OPSS %, Inflatie - MJP Totex exclusief toeslagen, Inflatie - MJP OPSS kosten, Inflatie - OPSS Inflatie %, Indirecte toeslag %, Totex exclusief toeslagen, MJP - Indirecte toeslag, Inflatie - Indirecte toeslag%, Inflatie - Totex exclusief toeslagen, Inflatie - MJP indirecte toeslag, Inflatie - Indirecte toeslag inflatie %, Totaal indirecte toeslag, Inflatie - Totaal indirecte toeslag, Inflatie - Totaal indirecte toeslag inflatie %, -- Technical --, CF Overwrite verhouding? Magazijn Toeslag, CF verhouding % Magazijn Toeslag, CF Overwrite verhouding? OPSS, CF verhouding % OPSS, Totaal magazijntoeslagdragende magazijnkosten, Totaal OPSS toeslag kosten, Inflatie - Totaal magazijntoeslagdragende magazijnkosten, Inflatie - OPSS Toeslag kosten, --- CR Subloads ---, Totaal exclusief toeslagen (SL), Totaal  magazijndragende magazijnjosten (SL), Totaal OPSS toeslag kosten (SL), Inflatie - Totaal exclusief toeslagen (SL), Inflatie - Totaal magazijndragende magazijnkosten (SL), Inflatie - Totaal OPSS toeslag kosten (SL), Inflatie - Indirecte toeslag% (SL)"
CA 32xx. Toeslag Indirect MJP,CALCULATION,"MJP Versions L2, SS - COEA - zonder AFD, SS Afdeling L5 - Budget Afdelingen",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,10368,Test mdoule,,,,,,,"OPS Support toeslag, Distrubution, Excluding inflation, Totex UMD, TOTEX for OPSS, Including, TOTEX including inflation, TOTEX for OPSS incl inflation"
CA 33. Toeslag indirect dekkings controle,CALCULATION,"MJP Versions L2, SS DB/TS - Toeslagen",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,837,HV: Needed?,,,,,,,"Toegepaste TOTEX, Huidig %, Huidige dekking, Te dekken kosten, Delta, Benodigd %, Indirect Toeslag Dekking ex. Bedrijfsvoering"
CA 34. MJP naar thema's,CALCULATION,"MJP Versions L2, SIP Thema L3, Inflatie excl/incl, SS - COEA - zonder AFD, SS Afdeling L5 - Budget Afdelingen",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,3859488,,,,,,"'CA 34. MJP naar thema''s - Meerjarig', '└CA 34a MJP thema''s voor RP 10 11 12', 'CA 62. MJP naar thema''s Opex/Capex'",,"COE, MJP Totaal tafel/thema, Allocatie Jaar 1, Allocatie vanuit SIP, Overwrite?, Overwrite, MJP naar thema's"
CA 34. MJP naar thema's - Meerjarig,CALCULATION,"MJP Versions L2, SIP Thema L3, Inflatie excl/incl, SS - COEA - zonder AFD, SS Afdeling L5 - Budget Afdelingen",Year,Model Calendar,Not Applicable,New Line Items: Off,Show All Users: On,5157180,HV: Needed?,,,,,,,"COE, MJP Totaal tafel/thema, Allocatie vanuit SIP, MJP naar thema's"
└CA 34a MJP thema's voor RP 10 11 12,CALCULATION,"MJP Versions L2, SIP Thema L3, SS - COEA - zonder AFD, SS Afdeling L5 - Budget Afdelingen",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,342144,,,,,,"'└ RP 10a. MJP CAPEX - Specificatie', '└ RP 11a. MJP OPEX - Specificatie', '└ RP 12a. MJP Extern - Specificatie'",,"Waarde excl inflatie, Waarde incl inflatie"
CA 35. Monthly allocation thema L3 (aggregated),CALCULATION,"MJP Versions L2, SIP Thema L3, SS - COEA - zonder AFD, SS Afdeling L5 - Budget Afdelingen",Month,MJP BU TR,Not Applicable,New Line Items: Off,Show All Users: On,7154784,HV: Needed?,,,,,,,"Aggregated allocation UMDT, Aggregated allocation UMD"
└CA 35a. Monthly allocation Activity L4+,CALCULATION,"MJP Versions L2, SIP Activiteit L4 +, Dummy Maand, SS - COEA - zonder AFD, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,15219660,,,,,,"'└CA 35b. Monthly allocation Activity L4+ to UMDT', 'CA 43. Materiaal Staging Activiteit L4+'",,"Collect LIS, Selected seizoenspatroon, Allocation key, Overwrite allocation, Overwrite Allocation (SUM), Dummy Summing Item, ---Technical---, CF Input"
└CA 35b. Monthly allocation Activity L4+ to UMDT,CALCULATION,"MJP Versions L2, SIP Activiteit L4 +, Dummy Maand, SS - COEA - zonder AFD, SS Afdeling L5 - Budget Afdelingen, LIS (CA 21) UMD - Activiteit L4+",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,68330304,,,,,,"'└CA 35c. Monthly allocation Activity L4+ to UMDT - Copy', '└CA 35g. Monthly allocation on thema L3'",,"Waarde, Allocated"
└CA 35c. Monthly allocation Activity L4+ to UMDT - Copy,CALCULATION,"MJP Versions L2, Activiteit_Kostenplaats, Dummy Maand, SS - COEA - zonder AFD, LIS (CA 21) UMD - Activiteit L4+",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,5459940,,,,,,"'└CA 16a. Controle UMD vs Thema', 'CA 38. Toeslagen GBR', 'CA 39. Other Rekeningcategorie GBR', '└ FI 07ae. User Filters - Suppress Zeroes CA 35c'",,"Allocation key, Allocated, <> 0?, ---Technical---, Allocation - Toeslag Indirect, Allocation - OPSS, Allocation -  Magazijntoeslag, Allocated Sum"
└CA 35d. Monthly allocation Thema L3++,CALCULATION,"MJP Versions L2, SIP Thema L3++, Dummy Maand, SS - COEA - zonder AFD, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,2745204,,,,,,"'└CA 35e. Monthly allocation Thema L3++ to UMDT', 'CA 42. Materiaal Staging Thema L3++'",,"Collect LIS, Selected seizoenspatroon, Allocation key, Overwrite allocation, Overwrite Allocation (SUM), Dummy Summing Item, ---Technical---, CF Input"
└CA 35e. Monthly allocation Thema L3++ to UMDT,CALCULATION,"MJP Versions L2, SIP Thema L3++, Dummy Maand, SS - COEA - zonder AFD, SS Afdeling L5 - Budget Afdelingen, LIS (CA 23) UMD - Thema's L3 +",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,51260664,,,,,,"'└CA 35f. Monthly allocation Thema L3++ to UMDT  to KP', '└CA 35g. Monthly allocation on thema L3', '└ FI 07am. Suppress Zeroes CA 35e.'",,"Waarde, Allocated"
└CA 35f. Monthly allocation Thema L3++ to UMDT  to KP,CALCULATION,"MJP Versions L2, SIP Thema L3++, Dummy Maand, SS - COEA - zonder AFD, SS Kostenplaats L7 - Budget, LIS (CA 23) UMD - Thema's L3 +",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,183378816,,,,,,"'└CA 16a. Controle UMD vs Thema', 'CA 38. Toeslagen GBR', 'CA 39. Other Rekeningcategorie GBR'",,"Allocation key, Allocated, ---Technical---, Allocated Sum, Allocated - Toeslag Indirect, Allocated - Magazijntoeslag, Allocated - OPSS"
└CA 35g. Monthly allocation on thema L3,CALCULATION,"MJP Versions L2, SIP Thema L3, Dummy Maand, SS - COEA - zonder AFD, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,4188375,HV: Needed?,,,,,,,"Activiteiten -> Thema L3, Thema L3++ -> Thema L3, Thema L3 totaal, Allocation key Activiteiten, Allocation key thema's, Activiteit (Inclusief inflatie), Thema (Inclusief inflatie), Thema L3 Totaal to months, Has value?"
CA 36. Doorbelastingen naar Maand,CALCULATION,"MJP Versions L2, DB/TS items, SS Kostenplaats L7 - Budget, SS - Account L12 - DB/TS",Month,MJP BU TR,Not Applicable,New Line Items: Off,Show All Users: On,17288640,,,,,,'CA 39. Other Rekeningcategorie GBR',,"Doorbelastingen, Doorbelastingen Totaal"
CA 37. IC naar GBR/KP,CALCULATION,"MJP Versions L2, SS - Account L12 - IC, SS Kostenplaats L7 - Budget",Month,MJP BU TR,Not Applicable,New Line Items: Off,Show All Users: On,1021656,,,,,,'CA 39. Other Rekeningcategorie GBR',,"Waarde (Versturend), Waarde (Ontvangend), Waarde totaal (Versturend + Ontvangend)"
CA 38. Toeslagen GBR,CALCULATION,"MJP Versions L2, COEA, Dummy Maand, SS Kostenplaats L7 - Budget, SS - Account L12 - DB/TS",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,13132104,,,,,,'CA 39. Other Rekeningcategorie GBR',,"Toeslag Indirect, Allocation Key - Toeslag Indirect, Allocation - Toeslag Indirect, ---Other Indirect---, Allocation L3 Magazijntoeslag, Allocation L3 OPSS, Allocated OPSS + Magazijntoeslag, OPSS + Magazijntoeslag (Dummy), ---Toeslag Direct---, Toeslag Direct Allocated, -- Receiving toeslagen --, Allocation key - Toeslagen indirect, Toeslag indirect naar soort, Toeslag indirect naar soort zonder afdeling, Receiving - Indirecte toeslag, Receiving - Magazijntoeslag, Receiving OPS Support"
CA 39. Other Rekeningcategorie GBR,CALCULATION,"MJP Versions L2, COEA, Dummy Maand, SS Kostenplaats L7 - Budget, SS - Account L12 - Allocation",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,39582720,,,,,,"'└ IP 10a. Verdeling naar grootboekrekening', '└ IP 10a NEW. Verdeling naar grootboekrekening', '└ IP 10d. Calculatie seizoenspatronen'",,"Doorbelasting, Toeslagen, Intracompany (IC), Thema, Activiteit, Personeelskosten, Total, ---Technical---"
CA 42. Materiaal Staging Thema L3++,CALCULATION,"MJP Versions L2, SIP Thema L3++, COEA, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,21085792,,,,,,'CA 39. Other Rekeningcategorie GBR',,"Materiaal Magazijn, Materiaal Overig, KP Allocation Magazijn, KP Allocation Overig, Materiaal Magazijn Monthly, Materiaal Overig Monthly, Materiaal Magazijn zonder thema, Materiaal Overig zonder thema, L12 Allocation Magazijn, L12 Allocation Overig"
CA 43. Materiaal Staging Activiteit L4+,CALCULATION,"MJP Versions L2, SIP Activiteit L4 +, SS - COEA - zonder AFD, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,53718336,,,,,,'CA 39. Other Rekeningcategorie GBR',,"Materiaal  - Magazijn, Materiaal  - Overig, KP Allocatie Magazijn, KP Allocatie Overig, Materiaal Magazijn Monthly, Materiaal Overig Monthly, materiaal magazijn zonder activiteit, materiaal overig zonder activiteit, L12 Allocatie Magazijn, L12 Allocatie Overig"
